num_expediente,fecha,hora,localizacion 1,localizacion 2,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,coordenada_x_utm,coordenada_y_utm,positiva_alcohol
2025S033709,25/03/2025,14:30:00,"AUTOV. M-30, 11NL86",,11NL86,2,ARGANZUELA,Alcance,,Turismo,Conductor,De 25 a 29 años,Hombre,442097,4470766,N
2025S033709,25/03/2025,14:30:00,"AUTOV. M-30, 11NL86",,11NL86,2,ARGANZUELA,Alcance,,Turismo,Conductor,De 55 a 59 años,Hombre,442097,4470766,N
2025S033709,25/03/2025,14:30:00,"AUTOV. M-30, 11NL86",,11NL86,2,ARGANZUELA,Alcance,,Turismo,Conductor,De 70 a 74 años,Hombre,442097,4470766,N
2025S033736,25/03/2025,16:05:00,AVDA. CARTAGENA DE INDIAS,CTRA. VILLAVERDE A VALLECAS,2,18,VILLA DE VALLECAS,Colisión lateral,,Furgoneta,Conductor,De 50 a 54 años,Hombre,445226,4468978,N
2025S033736,25/03/2025,16:05:00,AVDA. CARTAGENA DE INDIAS,CTRA. VILLAVERDE A VALLECAS,2,18,VILLA DE VALLECAS,Colisión lateral,,Motocicleta > 125cc,Conductor,De 60 a 64 años,Hombre,445226,4468978,N
2025S033754,25/03/2025,15:40:00,"CUSTA. SAN VICENTE, 2",,2,9,MONCLOA-ARAVACA,Alcance,Despejado,Camión rígido,Conductor,De 25 a 29 años,Hombre,439480,4474808,N
2025S033754,25/03/2025,15:40:00,"CUSTA. SAN VICENTE, 2",,2,9,MONCLOA-ARAVACA,Alcance,Despejado,Turismo,Conductor,De 21 a 24 años,Hombre,439480,4474808,N
2025S033762,25/03/2025,17:00:00,CALLE MORALES,CALLE PATRIMONIO DE LA HUMANIDAD,25,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Conductor,De 35 a 39 años,Hombre,435789,4468061,N
2025S033762,25/03/2025,17:00:00,CALLE MORALES,CALLE PATRIMONIO DE LA HUMANIDAD,25,11,CARABANCHEL,Alcance,Despejado,Furgoneta,Conductor,De 50 a 54 años,Hombre,435789,4468061,N
2025S033763,25/03/2025,16:45:00,PASEO. ESPERANZA,CALLE BAÑOS DE MONTEMAYOR,18,2,ARGANZUELA,Caída,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Hombre,440357,4472235,N
2025S033763,25/03/2025,16:45:00,PASEO. ESPERANZA,CALLE BAÑOS DE MONTEMAYOR,18,2,ARGANZUELA,Caída,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,440357,4472235,N
2025S033769,25/03/2025,17:00:00,CALLE ALCOCER,AVDA. ANDALUCIA,54,17,VILLAVERDE,Alcance,Despejado,Autobús,Conductor,De 55 a 59 años,Hombre,441098,4466989,N
2025S033769,25/03/2025,17:00:00,CALLE ALCOCER,AVDA. ANDALUCIA,54,17,VILLAVERDE,Alcance,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,441098,4466989,N
2025S033787,25/03/2025,16:40:00,"AUTOV. M-30, PK 2,900 CALZADA INTERIOR LATERAL",,02NL90,5,CHAMARTÍN,Alcance,,Turismo,Conductor,De 21 a 24 años,Mujer,443549,4479140,N
2025S033787,25/03/2025,16:40:00,"AUTOV. M-30, PK 2,900 CALZADA INTERIOR LATERAL",,02NL90,5,CHAMARTÍN,Alcance,,Turismo,Conductor,De 35 a 39 años,Hombre,443549,4479140,N
2025S033787,25/03/2025,16:40:00,"AUTOV. M-30, PK 2,900 CALZADA INTERIOR LATERAL",,02NL90,5,CHAMARTÍN,Alcance,,Turismo,Conductor,Más de 74 años,Hombre,443549,4479140,N
2025S033787,25/03/2025,16:40:00,"AUTOV. M-30, PK 2,900 CALZADA INTERIOR LATERAL",,02NL90,5,CHAMARTÍN,Alcance,,Turismo,Pasajero,De 70 a 74 años,Mujer,443549,4479140,N
2025S033801,25/03/2025,17:35:00,CALLE ARROYO BELINCOSO,CALLE CAMINO DE LOS VINATEROS,40,14,MORATALAZ,Alcance,Despejado,Turismo,Conductor,De 18 a 20 años,Mujer,444632,4473483,N
2025S033801,25/03/2025,17:35:00,CALLE ARROYO BELINCOSO,CALLE CAMINO DE LOS VINATEROS,40,14,MORATALAZ,Alcance,Despejado,Turismo,Conductor,De 45 a 49 años,Hombre,444632,4473483,N
2025S033802,25/03/2025,14:47:00,"CALLE HERMANOS GARCIA NOBLEJAS, 68",,68,15,CIUDAD LINEAL,Alcance,Despejado,Turismo,Conductor,De 21 a 24 años,Mujer,446376,4475642,N
2025S033802,25/03/2025,14:47:00,"CALLE HERMANOS GARCIA NOBLEJAS, 68",,68,15,CIUDAD LINEAL,Alcance,Despejado,Turismo,Conductor,De 65 a 69 años,Hombre,446376,4475642,N
2025S033802,25/03/2025,14:47:00,"CALLE HERMANOS GARCIA NOBLEJAS, 68",,68,15,CIUDAD LINEAL,Alcance,Despejado,Turismo,Pasajero,De 60 a 64 años,Mujer,446376,4475642,N
2025S033803,25/03/2025,17:15:00,CALLE POETA JOAN MARAGALL,CALLE SOR ANGELA DE LA CRUZ,37,6,TETUÁN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Mujer,441335,4478961,N
2025S033803,25/03/2025,17:15:00,CALLE POETA JOAN MARAGALL,CALLE SOR ANGELA DE LA CRUZ,37,6,TETUÁN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,441335,4478961,N
2025S033805,25/03/2025,18:20:00,"AUTOV. M-30, 10NC40",,10NC40,3,RETIRO,Alcance,,Turismo,Conductor,De 35 a 39 años,Hombre,443043,4472033,N
2025S033805,25/03/2025,18:20:00,"AUTOV. M-30, 10NC40",,10NC40,3,RETIRO,Alcance,,Turismo,Conductor,De 45 a 49 años,Hombre,443043,4472033,N
2025S033805,25/03/2025,18:20:00,"AUTOV. M-30, 10NC40",,10NC40,3,RETIRO,Alcance,,Turismo,Pasajero,De 35 a 39 años,Hombre,443043,4472033,N
2025S033817,25/03/2025,17:35:00,AVDA. ANDALUCIA,AUTOV. M-40,40,12,USERA,Alcance,Despejado,Furgoneta,Conductor,De 50 a 54 años,Hombre,441069,4468353,N
2025S033817,25/03/2025,17:35:00,AVDA. ANDALUCIA,AUTOV. M-40,40,12,USERA,Alcance,Despejado,Turismo,Conductor,De 30 a 34 años,Mujer,441069,4468353,N
2025S033826,25/03/2025,15:10:00,"AUTOV. A-3, +00400S",,+00400S,13,PUENTE DE VALLECAS,Otro,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,446484,4471498,N
2025S033826,25/03/2025,15:10:00,"AUTOV. A-3, +00400S",,+00400S,13,PUENTE DE VALLECAS,Otro,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,446484,4471498,N
2025S033827,25/03/2025,17:07:00,CALLE SIL,CALLE LEIZARAN,32,5,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,442120,4477736,N
2025S033827,25/03/2025,17:07:00,CALLE SIL,CALLE LEIZARAN,32,5,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Conductor,De 70 a 74 años,Mujer,442120,4477736,N
2025S033827,25/03/2025,17:07:00,CALLE SIL,CALLE LEIZARAN,32,5,CHAMARTÍN,Colisión lateral,Despejado,Turismo,Pasajero,De 70 a 74 años,Mujer,442120,4477736,N
2025S033830,25/03/2025,17:35:00,CALLE LOPEZ DE HOYOS,CALLE GUISONA,454,16,HORTALEZA,Colisión fronto-lateral,Despejado,Otros vehículos con motor,Conductor,De 35 a 39 años,Hombre,444614,4479897,N
2025S033830,25/03/2025,17:35:00,CALLE LOPEZ DE HOYOS,CALLE GUISONA,454,16,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,444614,4479897,N
2025S033831,25/03/2025,18:45:00,CALLE PONZANO,CALLE CRISTOBAL BORDIU,86,7,CHAMBERÍ,Colisión lateral,Despejado,Furgoneta,Conductor,De 40 a 44 años,Hombre,440739,4477371,N
2025S033831,25/03/2025,18:45:00,CALLE PONZANO,CALLE CRISTOBAL BORDIU,86,7,CHAMBERÍ,Colisión lateral,Despejado,Turismo,Conductor,De 50 a 54 años,Mujer,440739,4477371,N
2025S033832,25/03/2025,19:00:00,CALLE TERESA LOPEZ VALCARCEL,CALLE JULIAN RABANEDO,17,2,ARGANZUELA,Colisión fronto-lateral,Despejado,Furgoneta,Conductor,De 45 a 49 años,Hombre,441056,4471039,N
