CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T08:00:00Z,8,3,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T09:00:00Z,9,6,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T10:00:00Z,10,8,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T11:00:00Z,11,9,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T12:00:00Z,12,7,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T13:00:00Z,13,2,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T15:00:00Z,15,1,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T17:00:00Z,17,2,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T18:00:00Z,18,6,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T19:00:00Z,19,5,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T20:00:00Z,20,2,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T21:00:00Z,21,2,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T23:00:00Z,23,2,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,5,2025-08-05,2025-08-05T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T07:00:00Z,7,2,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T08:00:00Z,8,5,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T09:00:00Z,9,15,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T10:00:00Z,10,10,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T11:00:00Z,11,9,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T12:00:00Z,12,4,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T13:00:00Z,13,2,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T15:00:00Z,15,1,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T17:00:00Z,17,2,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T18:00:00Z,18,1,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T19:00:00Z,19,1,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T20:00:00Z,20,1,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T23:00:00Z,23,1,23,Valid
